,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
58447,2015-01-01,1,January,2015,19,Youth (<25),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 48",3,2171,3578,1860,6513,8373
61259,2015-01-01,1,January,2015,37,Adults (35-64),F,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Black, 48",1,1555,2443,717,1555,2272
54069,2015-01-01,1,January,2015,36,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1008,1266,2274
60429,2015-01-01,1,January,2015,29,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-650 Black, 44",1,487,783,186,487,673
67591,2015-01-01,1,January,2015,42,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,346,1083,1429
60201,2015-01-01,1,January,2015,53,Adults (35-64),F,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,448,1555,2003
60423,2015-01-01,1,January,2015,29,Young Adults (25-34),F,United States,Florida,Bikes,Road Bikes,"Road-650 Red, 62",3,487,783,771,1461,2232
69451,2015-01-01,1,January,2015,27,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,261,713,974
63027,2015-01-02,2,January,2015,29,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",2,2171,3578,1884,4342,6226
59961,2015-01-02,2,January,2015,30,Young Adults (25-34),M,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1264,2171,3435
62119,2015-01-02,2,January,2015,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266
58827,2015-01-02,2,January,2015,28,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,1335,2171,3506
65033,2015-01-02,2,January,2015,38,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-350-W Yellow, 44",2,1083,1701,794,2166,2960
50653,2015-01-02,2,January,2015,27,Young Adults (25-34),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,882,1252,2134
71359,2015-01-02,2,January,2015,29,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,126,344,470
52137,2015-01-02,2,January,2015,27,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,683,1266,1949
52101,2015-01-02,2,January,2015,25,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,752,1266,2018
70849,2015-01-02,2,January,2015,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
70848,2015-01-02,2,January,2015,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
49807,2015-01-02,2,January,2015,25,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,745,1252,1997
67605,2015-01-03,3,January,2015,40,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,1083,1701,692,2166,2858
52497,2015-01-03,3,January,2015,30,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,561,1252,1813
66981,2015-01-03,3,January,2015,41,Adults (35-64),M,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 48",2,2171,3578,2742,4342,7084
60473,2015-01-03,3,January,2015,30,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",3,487,783,841,1461,2302
56331,2015-01-03,3,January,2015,29,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
61737,2015-01-03,3,January,2015,25,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,790,1555,2345
49769,2015-01-03,3,January,2015,23,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,752,1266,2018
69605,2015-01-04,4,January,2015,40,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,713,1120,172,713,885
67387,2015-01-04,4,January,2015,40,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,312,1083,1395
64479,2015-01-04,4,January,2015,29,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",3,1083,1701,935,3249,4184
61589,2015-01-04,4,January,2015,39,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-350-W Yellow, 44",2,1083,1701,794,2166,2960
67742,2015-01-04,4,January,2015,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
67743,2015-01-04,4,January,2015,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
69393,2015-01-04,4,January,2015,36,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
56557,2015-01-04,4,January,2015,44,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-500 Black, 44",2,295,540,252,590,842
62951,2015-01-05,5,January,2015,41,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 48",3,2171,3578,1967,6513,8480
50153,2015-01-05,5,January,2015,28,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,561,1252,1813
70851,2015-01-05,5,January,2015,30,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,174,344,518
64533,2015-01-05,5,January,2015,30,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 48",2,1555,2443,1141,3110,4251
56877,2015-01-05,5,January,2015,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,1031,1266,2297
59557,2015-01-05,5,January,2015,38,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1264,2171,3435
56657,2015-01-05,5,January,2015,41,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,246,308,554
66165,2015-01-06,6,January,2015,28,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,897,3110,4007
67553,2015-01-06,6,January,2015,51,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,713,1120,411,1426,1837
58441,2015-01-07,7,January,2015,19,Youth (<25),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,1812,4342,6154
63201,2015-01-07,7,January,2015,41,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Black, 58",3,1555,2443,1345,4665,6010
50923,2015-01-07,7,January,2015,29,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,1252,2295,2854,3756,6610
52149,2015-01-07,7,January,2015,26,Young Adults (25-34),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,1273,2532,3805
51083,2015-01-07,7,January,2015,21,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,308,565,184,308,492
59404,2015-01-07,7,January,2015,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,773,3038,3811
62121,2015-01-07,7,January,2015,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",3,1083,1701,1650,3249,4899
59405,2015-01-07,7,January,2015,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,387,1519,1906
